Object Id,Facility ID,Facility Name,Address,City,State,ZIP Code,Phone Number,County,Country,Latitude,Longitude,Website,Helipad
15,16192680,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,14851 YORBA STREET,TUSTIN,CA,92680,(573) 596-0035,ORANGE,179,33.74746074,-117.8310556,http://www.tustinrehab.com,N
16,23792621,KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,BREA,CA,92621,(308) 425-6221,ORANGE,76,33.93449589,-117.8939488,http://www.kindredhospitalbrea.com/,N
17,24392683,KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,(601) 876-2122,ORANGE,164,33.76353321,-117.995256,http://www.khwestminster.com/,N
18,22093277,KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,VISALIA,CA,93277,(203) 344-2666,TULARE,145,36.32084395,-119.3482345,http://www.kaweahdelta.org,N
19,1931537,CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,FOLKSTON,GA,31537,(828) 433-2111,CHARLTON,184,30.84527535,-82.00505739,http://www.southcoast.org/charlton/,Y
20,5870563,DAUTERIVE HOSPITAL,600 N LEWIS AVE.,NEW IBERIA,LA,70563,(337) 365-7311,IBERIA,98,30.00690698,-91.79452385,http://www.dauterivehospital.com,Y
21,13177954,CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,CROCKETT,TX,77954,(936( 546-3891,HOUSTON,67,31.32360364,-95.43889931,http://crockettmedicalcenter.com/,Y
22,4671360,CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,PINEVILLE,LA,71360,(318) 484-6200,RAPIDES,120,31.32737894,-92.44013511,http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm,N
23,15671222,REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,BERNICE,LA,71222,(318) 285-9066,UNION,103,32.82399167,-92.65664868,http://reevesmemorial.com/,Y
24,16971241,SERENITY SPRINGS SPECIALTY HOSPITAL,309 N MAIN ST,FARMERVILLE,LA,71241,(318) 202-3860,UNION,74,32.77612793,-92.40562585,http://www.serenityhospital.com,N
25,15371373,RIVERBRIDGE SPECIALTY HOSPITAL,209 FRONT ST.,VIDALIA,LA,71373,(800) 269-8034,CONCORDIA,167,31.56117486,-91.42606698,http://www.promise-misslou.com,N
26,5371418,CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,COLUMBIA,LA,71418,(318) 649-6106,CALDWELL,126,32.06003995,-92.09913767,NOT AVAILABLE,N
27,22830662,BROWN MEMORIAL CONVALESCENT CENTER,545 COOK STREET,ROYSTON,GA,30662,(706) 245-1900,FRANKLIN,120,34.28325037,-83.11897237,http://tycobbhealthcare.com/programsservices/longtermcare/brownmemorialconvalescentcenter.aspx,N
28,70990806,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,(715) 268-0300,LOS ANGELES,194,33.80709287,-118.1933899,http://www.collegemedicalcenter.com,N
29,71794577,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,(717) 765-4000,ALAMEDA,95,37.7064062,-122.1646545,http://www.kaiserpermanente.org,N
30,72590723,KINDRED HOSPITAL PARAMOUNT,16453 SOUTH COLORADO AVENUE,PARAMOUNT,CA,90723,(435) 722-4691,LOS ANGELES,125,33.88463186,-118.1622671,http://www.promiseeastla.com/,N
31,73790650,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,NORWALK,CA,90650,(562) 863-7011,LOS ANGELES,69,33.92803135,-118.0679897,http://www.dsh.ca.gov/metropolitan/default.asp,N
32,196162274,PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,PINCKNEYVILLE,IL,62274,(618) 357-2187,PERRY,170,38.084846,-89.349108,http://www.pvillehosp.org/,Y
33,85531419,ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,(212) 243-5565,CHATHAM,159,31.98543032,-81.15455637,NOT AVAILABLE,Y
34,86630165,KINDRED HOSPITAL ROME,320 TURNER MCCALL BOULEVARD,ROME,GA,30165,(216) 445-8400,FLOYD,108,34.25971345,-85.18023963,NOT AVAILABLE,N
35,87130286,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,(701) 786-3800,UPSON,133,32.8862977,-84.33650699,NOT AVAILABLE,N
36,87531719,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,31719,(229) 924-6011,SUMTER,23,32.06696234,-84.2560502,http://www.phoebeputney.com/phoebecontentpage.aspx?nd=1479,Y
37,87931830,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,6135 ROOSEVELT HIGHWAY,WARM SPRINGS,GA,31830,(404) 655-5011,MERIWETHER,128,32.88798074,-84.6923449,NOT AVAILABLE,N
38,90030265,SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,NEWNAN,GA,30265,(618) 526-4511,COWETA,124,33.38483465,-84.75774669,http://www.cancercenter.com/southeastern/,N
39,196500984,DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,CALLE FERNANDEZ JUNCOS  EDIFICIO JESUS T. PINEIRO,CAROLINA,PR,984,(787) 621-3322,METRO,147,18.380443,-65.95579,https://www.tuhospitalfamiliar.com/,N
40,2054311,BROWN CTY COMMUNITY TREATMENT CENTER,3150 GERSHWIN DRIVE,GREEN BAY,WI,54311,(920) 391-4700,BROWN,181,44.52271226,-87.92482708,http://www.co.brown.wi.us/,N
41,151253226,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,WAUWATOSA,WI,53226,(414) 778-7800,MILWAUKEE,62,43.03581215,-88.03726582,NOT AVAILABLE,N
42,196600956,HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,AVE LAUREL 100  URB. SANTA JUANITA,BAYAMON,PR,956,(787) 786-7373,BAYAMON,11,18.36765566,-66.15439126,NOT AVAILABLE,N
43,159171301,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,ALEXANDRIA,LA,71301,(318) 473-0035,RAPIDES,73,31.25219156,-92.48198781,NOT AVAILABLE,N
44,163570394,OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,(985) 537-8377,LAFOURCHE,56,29.70267142,-90.5652539,https://www.ochsner.org/locations/ochsner-st-anne/,Y
45,164970748,FELICIANA FORENSIC FACILITY,4502 HWY 951,JACKSON,LA,70748,(225) 634-0216,EAST FELICIANA,119,30.83263569,-91.21066049,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,N
46,160970056,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,3201 WALL BOULEVARD,GRETNA,LA,70056,(504) 433-5551,JEFFERSON,142,29.86597947,-90.03069185,http://umrhospital.com/locations/new-orleans/,N
48,152354971,RIPON MEDICAL CENTER,845 PARKSIDE ST,RIPON,WI,54971,(920) 748-3101,FOND DU LAC,7,43.83437609,-88.81775153,http://www.agnesian.com/locations/hospitals/ripon-medical-center,Y
49,13402908,VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,PROVIDENCE,RI,2908,(304) 597-3500,PROVIDENCE,22,41.83213908,-71.43314954,http://www.providence.va.gov/,N
50,15954660,TOMAH VA MEDICAL CENTER,500 E VETERANS ST,TOMAH,WI,54660,(608) 372-3971,MONROE,43,44.00308068,-90.49331901,http://www.tomah.va.gov/,Y
51,5854452,ASCENSION GOOD SAMARITAN HLTH CTR,601 S CENTER AVE,MERRILL,WI,54452,(715) 536-5511,LINCOLN,9,45.17563254,-89.68183128,http://www.ministryhealth.org,Y
52,58796001,RESTPADD PSYCHIATRIC HEALTH FACILITY,2750 EUREKA WAY,REDDING,CA,96001,(530) 262-6700,SHASTA,24,40.58659539,-122.4119741,http://www.restpadd.com/,N
53,59093436,THE CHAMPION CENTER,303 SOUTH C STREET,LOMPOC,CA,93436,(844) 394-3767,SANTA BARBARA,91,34.63537161,-120.4521883,https://championrecovery.com/,N
54,23831825,STEWART WEBSTER HOSPITAL,580 ALSTON STREET,RICHLAND,GA,31825,(229) 887-3366,STEWART,34,32.08616827,-84.66069977,http://www.stewartcountyga.gov/stewartwebsterhospital.htm,N
55,21891761,KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,2295 S. VINEYARD AVENUE,ONTARIO,CA,91761,(415) 833-2646,SAN BERNARDINO,114,34.03207956,-117.6085993,http://www.kaiserpermanente.org,N
56,25692354,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,LOMA LINDA,CA,92354,(602) 239-2000,SAN BERNARDINO,8,34.04730564,-117.2516368,http://www.llumc.edu,N
57,44792404,ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,SAN BERNARDINO,CA,92404,(817) 848-4000,SAN BERNARDINO,58,34.13467236,-117.27702,http://www.stbernardinemedicalcenter.com,N
58,20092120,KAISER FND HOSP - SAN DIEGO,4647 ZION AVENUE,SAN DIEGO,CA,92120,(423) 542-1300,SAN DIEGO,112,32.79156258,-117.0951595,http://www.kaiserpermanente.org,N
59,40992037,SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,CA,92037,(734) 240-8400,SAN DIEGO,148,32.8968589,-117.2428711,http://www.scrippshealth.org,N
60,41092024,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,92024,(432) 283-2760,SAN DIEGO,52,33.03734478,-117.2841834,http://www.scripps.org,Y
61,42292123,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 HEALTH CENTER DRIVE,SAN DIEGO,CA,92123,(712) 382-1515,SAN DIEGO,59,32.79829578,-117.1549778,http://www.sharp.com,Y
62,51092103,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,(315) 338-7000,SAN DIEGO,48,32.75477023,-117.1657314,https://health.ucsd.edu/locations/pages/hillcrest.aspx,Y
63,4894118,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,SAN FRANCISCO,CA,94118,(559) 935-6400,SAN FRANCISCO,157,37.7865092,-122.4560306,http://www.cpmc.org,N
64,5094115,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,SAN FRANCISCO,CA,94115,(606) 849-2351,SAN FRANCISCO,136,37.79070454,-122.4312945,http://www.cpmc.org,N
65,46594117,ST. MARY'S MEDICAL CENTER  SAN FRANCISCO,450 STANYAN STREET,SAN FRANCISCO,CA,94117,(281) 293-7774,SAN FRANCISCO,18,37.77408876,-122.4537516,http://www.stmarysmedicalcenter.org,N
66,20595403,KAISER FND HOSP - SANTA ROSA,401 BICENTENNIAL WAY,SANTA ROSA,CA,95403,(847) 437-5500,SONOMA,187,38.47179301,-122.7270644,http://www.kaiserpermanente.org,N
67,19594590,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,975 SERENO DRIVE,VALLEJO,CA,94590,(772) 589-3187,SOLANO,154,38.12690208,-122.2483773,http://www.kaiserpermanente.org,N
68,53195695,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,(903) 541-4500,YOLO,191,38.66392502,-121.7921452,http://www.woodlandhealthcare.org,N
69,1294609,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,3100 SUMMIT STREET,OAKLAND,CA,94609,(281) 725-5000,ALAMEDA,92,37.82013961,-122.2640042,http://www.altabatessummit.com,N
70,39794578,SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,CA,94578,(337) 527-7034,ALAMEDA,26,37.71228835,-122.1434937,http://edenmedcenter.org,N
71,46694545,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,CA,94545,(228) 436-1104,ALAMEDA,86,37.63344199,-122.0879125,http://www.srhca.org,N
72,45995204,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,2510 NORTH CALIFORNIA STREET,STOCKTON,CA,95204,(814) 371-2200,SAN JOAQUIN,80,37.9765963,-121.2910709,http://www.stjosephscanhelp.org,N
73,46095204,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 NORTH CALIFORNIA STREET,STOCKTON,CA,95204,(915) 407-7878,SAN JOAQUIN,165,37.97046719,-121.2881828,http://www.stjosephscares.org,Y
74,13291741,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,CA,91741,(308) 537-3661,LOS ANGELES,178,34.13265458,-117.8712597,http://www.cvhp.org/our_facilities/foothill_presbyterian.aspx,Y
75,14791204,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,GLENDALE,CA,91204,(740) 942-4631,LOS ANGELES,188,34.12816563,-118.2566432,http://www.glendalememorial.com,N
76,19090027,KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,4867 SUNSET BOULEVARD,LOS ANGELES,CA,90027,(737) 999-6200,LOS ANGELES,31,34.09857365,-118.2941753,http://www.kaiserpermanente.org,N
77,19391402,KAISER PERMANENTE PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,CA,91402,(916) 733-8999,LOS ANGELES,195,34.21856419,-118.4302193,http://www.kaiserpermanente.org,N
78,36691356,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,91356,(703) 689-9000,LOS ANGELES,12,34.17039322,-118.5319041,http://california.providence.org/,N
79,42990020,SHRINERS HOSPITAL FOR CHILDREN - L.A.,3160 GENEVA STREET,LOS ANGELES,CA,90020,(205) 459-9100,LOS ANGELES,129,34.06720478,-118.2863921,http://www.shrinershospitalsforchildren.org/hospitals/locations/losa ngeles.aspx,N
80,50190716,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,CA,90716,(813) 873-6400,LOS ANGELES,54,33.83364001,-118.079678,http://www.tcrmc.org/,N
81,45295422,ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,(270) 889-6025,LAKE,189,38.93561886,-122.6201445,http://www.adventisthealth.org,Y
82,6193638,VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDREN'S PLACE,MADERA,CA,93638,(718) 670-5000,MADERA,137,36.88404783,-119.8002424,http://www.valleychildrens.org/pages/default.aspx,Y
83,11792270,EISENHOWER MEDICAL CENTER,39-000 BOB HOPE DRIVE,RANCHO MIRAGE,CA,92270,(315) 473-4980,RIVERSIDE,36,33.76335207,-116.4062411,http://www.emc.org,Y
84,15295124,GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,SAN JOSE,CA,95124,(813) 898-7451,SANTA CLARA,127,37.25207874,-121.9465769,http://www.goodsamsanjose.com,Y
85,20495051,KAISER FND HOSP - SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,(972) 298-7323,SANTA CLARA,3,37.33540138,-121.998873,http://www.kaiserpermanente.org,Y
86,27094304,LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,725 WELCH ROAD,PALO ALTO,CA,94304,(512) 341-1000,SANTA CLARA,143,37.43600458,-122.17539,http://www.lpch.org,Y
87,19494063,KAISER FND HOSP - REDWOOD CITY,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,94063,(863) 494-3535,SAN MATEO,99,37.48884784,-122.2233901,http://www.kaiserpermanente.org,N
88,18094520,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,CONCORD,CA,94520,(505) 753-1502,CONTRA COSTA,17,37.98308958,-122.0334968,http://www.johnmuirhealth.com,N
89,47794509,SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,ANTIOCH,CA,94509,(541) 426-3111,CONTRA COSTA,51,37.98223445,-121.8029785,http://www.sutterdelta.org,N
90,19995825,KAISER FND HOSP - SACRAMENTO,2025 MORSE AVENUE,SACRAMENTO,CA,95825,(413) 582-2000,SACRAMENTO,152,38.60179775,-121.393144,http://www.kaiserpermanente.org,N
91,43195945,SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,CA,95945,(435) 207-4500,NEVADA,177,39.22801629,-121.0474998,http://www.snmh.org,Y
92,24690623,LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,LA PALMA,CA,90623,(316) 268-5000,ORANGE,64,33.84751418,-118.0383023,http://www.lapalmaintercommunityhospital.com,Y
93,38492673,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,654 CAMINO DE LOS MARES,SAN CLEMENTE,CA,92673,(712) 542-2176,ORANGE,168,33.45706524,-117.6501839,http://www.memorialcare.org,N
94,13795991,FREMONT MEDICAL CENTER,970 PLUMAS STREET,YUBA CITY,CA,95991,(402) 694-3171,SUTTER,97,39.14310632,-121.618012,http://www.frhg.org/,N
95,10230143,PIEDMONT MOUNTAINSIDE HOSPITAL,1266 EAST CHURCH STREET,JASPER,GA,30143,(509) 765-5606,PICKENS,193,34.45824868,-84.41291289,http://www.piedmontmountainsidehospital.org,N
96,15530606,ST MARYS HEALTH CARE SYSTEM,1230 BAXTER STREET,ATHENS,GA,30606,(801) 350-4111,CLARKE,21,33.94722132,-83.40525246,http://www.stmarysathens.com,Y
97,14130080,RIDGEVIEW INSTITUTE,3995 SOUTH COBB DRIVE SE,SMYRNA,GA,30080,(770) 991-8500,COBB,197,33.85644329,-84.51105483,http://www.ridgeviewinstitute.com,N
98,502891,WESTERLY HOSPITAL,25 WELLS ST,WESTERLY,RI,2891,(401) 596-6000,WASHINGTON,40,41.36218908,-71.82530324,http://www.westerlyhospital.org/,N
99,1553715,ST MARYS HOSPITAL MADISON,700 SOUTH PARK ST,MADISON,WI,53715,(608) 251-6100,DANE,146,43.05933846,-89.40142922,http://www.stmarysmadison.com,Y
100,8253213,AURORA PSYCHIATRIC HSPTL,1220 DEWEY AVE,WAUWATOSA,WI,53213,(414) 454-6600,MILWAUKEE,93,43.0467651,-88.00771643,http://www.aurorahealthcare.org,N
101,9753097,COLUMBIA CENTER,13125 N PORT WASHINGTON RD,MEQUON,WI,53097,(262) 243-7408,OZAUKEE,173,43.25667793,-87.92615796,http://www.columbiacenter.org,Y
102,4354923,THEDACARE MEDICAL CENTER BERLIN,225 MEMORIAL DRIVE,BERLIN,WI,54923,(920) 361-1313,GREEN LAKE,166,43.97847715,-88.94122636,http://www.chnwi.org,Y
103,63072758,MERCY HOSPITAL ROGERS,2710 RIFE MEDICAL LANE,ROGERS,AR,72758,(479) 338-8000,BENTON,183,36.30899285,-94.18297802,NOT AVAILABLE,Y
104,10454024,ST CROIX REG MED CTR,235 STATE STREET,SAINT CROIX FALLS,WI,54024,(715) 483-3261,POLK,78,45.40903243,-92.64257812,http://www.scrmc.org,Y
105,11854017,WESTFIELDS HOSPITAL,535 HOSPITAL RD,NEW RICHMOND,WI,54017,(715) 246-2101,ST. CROIX,15,45.11776075,-92.55550038,http://www.westfieldshospital.com,Y
106,12453081,ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,SHEBOYGAN,WI,53081,(920) 459-8300,SHEBOYGAN,138,43.7623479,-87.74753796,http://www.stnicholashospital.org,Y
107,13154665,VERNON MEM HSPTL,507 SOUTH MAIN ST,VIROQUA,WI,54665,(608) 637-2101,VERNON,149,43.55167397,-90.88839128,http://www.vmh.org,N
108,72390241,PIH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVENUE,DOWNEY,CA,90241,(562) 904-5000,LOS ANGELES,185,33.9343518,-118.130904,http://www.pihhealth.org/,N
109,72790503,PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,4320 MARICOPA STREET,TORRANCE,CA,90503,(919) 350-2550,LOS ANGELES,117,33.83934812,-118.3597215,http://california.providence.org/,N
110,58592354,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET,LOMA LINDA,CA,92354,(800) 825-5437,SAN BERNARDINO,132,34.05013083,-117.2640945,http://childrens-hospital.lomalindahealth.org/,Y
111,15254904,ASCENSION NE WISCONSIN MERCY CAMPUS,500 S OAKWOOD RD,OSHKOSH,WI,54904,(920) 223-2000,WINNEBAGO,68,44.01242072,-88.60104549,http://www.affinityhealth.org,Y
112,75420007,MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER,3800 RESERVOIR ROAD  NW,WASHINGTON,DC,20007,(202) 444-2000,DISTRICT OF COLUMBIA,1,38.91195851,-77.07525457,http://www.medstargeorgetown.org/#q={},Y
113,31233525,ADVENT HEALTH DADE CITY,13100 FORT KING RD,DADE CITY,FL,33525,(352) 521-1100,PASCO,29,28.34796286,-82.20072008,www.bayfrontdadecity.com,N
114,7233484,DELRAY MEDICAL CENTER,5352 LINTON BLVD,DELRAY BEACH,FL,33484,(561) 498-4440,PALM BEACH,106,26.43719284,-80.12778775,http://www.delraymedicalctr.com,Y
115,36034758,POINCIANA MEDICAL CENTER,325 CYPRESS PKWY,KISSIMMEE,FL,34758,(407) 530-2000,OSCEOLA,66,28.14478076,-81.47668786,http://poincianamedicalcenter.com/,Y
116,9802703,ARBOUR FULLER HOSPITAL,200 MAY STREET,ATTLEBORO,MA,2703,(508) 761-8500,BRISTOL,90,41.92408385,-71.36112256,http://arbourhealth.com/organizations/arbour-fuller-hospital/,N
117,9702146,ARBOUR HUMAN RESOURCE INSTITUTE,227 BABCOCK STREET,BROOKLINE,MA,2146,(617) 731-3200,NORFOLK,134,42.35077951,-71.12124228,http://arbourhealth.com/organizations/arbour-hri-hospital/,N
118,36232068,ASSENCION ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,1670 ST. VINCENT'S WAY,MIDDLEBURG,FL,32068,(904) 602-1000,CLAY,46,30.10876243,-81.83268869,http://www.jaxhealth.com/,Y
119,36334471,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,2275 SW 22ND LANE,OCALA,FL,34471,(352) 282-4000,MARION,175,29.16587554,-82.16233494,http://healthsouthocala.com/,N
120,3906250,NATCHAUG HOSPITAL  INC.,189 STORRS RD,MANSFIELD CENTER,CT,6250,(860) 456-1311,TOLLAND,101,41.74110392,-72.19801148,http://www.natchaug.org/,N
121,36634997,ENCOMPASS HEALTH REHABILITATION HOSPITAL AT MARTIN HEALTH,5850 SE COMMUNITY DR,STUART,FL,34997,(772) 324-3522,MARTIN,53,27.13343729,-80.22245582,http://www.healthsouthmartin.com/,N
122,10502114,SHRINERS' HOSPITAL FOR CHILDREN,51 BLOSSOM ST,BOSTON,MA,2114,(617) 722-3000,SUFFOLK,38,42.36309255,-71.06630188,http://www.shrinershospitalsforchildren.org/locations/boston,N
123,10602129,SPAULDING REHABILITATION HOSPITAL,300 1ST AVE,BOSTON,MA,2129,(617) 573-7000,SUFFOLK,150,42.37850908,-71.04905555,http://spauldingrehab.org/,N
124,11402720,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,49 HILLSIDE STREET,FALL RIVER,MA,2720,(508) 295-0880,BRISTOL,196,41.70748691,-71.14571447,NOT AVAILABLE,N
125,12101904,BAY RIDGE HOSPITAL BEVERLY,60 GRANITE STREET,LYNN,MA,1904,(781) 922-3000,ESSEX,81,42.47162011,-70.95676093,http://www.beverlyhospital.org/locations--services/locations/bayridge-hospital,N
126,12001056,ENCOMPASS HEALTH HOSPITAL OF WESTERN MASS,222 STATE STREET,LUDLOW,MA,1056,(413) 583-8820,HAMPDEN,110,42.15577594,-72.47207734,http://www.healthsouthrehab.org/en/our-hospital,N
127,12142728,T J HEALTH COLUMBIA,901 WESTLAKE DRIVE,COLUMBIA,KY,42728,(270) 384-4753,ADAIR,82,37.09664157,-85.29454565,http://www.westlakeregionalhospital.com,Y
128,13050144,DECATUR COUNTY HOSPITAL,1405 NORTHWEST CHURCH STREET,LEON,IA,50144,(641) 446-4871,DECATUR,45,40.75093467,-93.74694077,http://www.decaturcountyhospital.org,Y
129,4466032,ANDERSON COUNTY HOSPITAL,421 SOUTH MAPLE STREET,GARNETT,KS,66032,(785) 204-4000,ANDERSON,63,38.279877,-95.25033865,http://www.saint-lukes.org,Y
